         2908455 function calls (2866976 primitive calls) in 5.104 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:999(source_to_code)
        2    0.002    0.001    0.002    0.001 {built-in method nt.replace}
      475    0.002    0.000    0.002    0.000 <frozen codecs>:309(__init__)
      139    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
      376    0.002    0.000    0.002    0.000 environment.py:1110(make_globals)
        2    0.000    0.000    0.002    0.001 composer.py:99(compose_sequence_node)
     1536    0.001    0.000    0.002    0.000 typing.py:1320(__setattr__)
     9783    0.002    0.000    0.002    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
     1756    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1496    0.002    0.000    0.002    0.000 __init__.py:929(release)
       72    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
     1038    0.002    0.000    0.002    0.000 idtracking.py:50(_define_ref)
     1415    0.001    0.000    0.002    0.000 idtracking.py:77(ref)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 argparse.py:1742(__init__)
     1022    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:405(parent)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        5    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     7455    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
      748    0.001    0.000    0.002    0.000 __init__.py:432(usesTime)
     2828    0.002    0.000    0.002    0.000 idtracking.py:68(find_ref)
        8    0.000    0.000    0.002    0.000 parser.py:381(parse_block_sequence_entry)
        2    0.000    0.000    0.002    0.001 log_utils.py:5(setup_logger)
     1786    0.002    0.000    0.002    0.000 compiler.py:945(<genexpr>)
     2920    0.001    0.000    0.002    0.000 _parser.py:168(__getitem__)
     1622    0.001    0.000    0.002    0.000 typing.py:1266(_is_dunder)
     4229    0.002    0.000    0.002    0.000 _parser.py:240(__next)
      374    0.001    0.000    0.002    0.000 __init__.py:164(<lambda>)
     2828    0.002    0.000    0.002    0.000 lexer.py:734(<genexpr>)
        1    0.000    0.000    0.002    0.002 tests.py:1(<module>)
       93    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      376    0.001    0.000    0.002    0.000 lexer.py:397(close)
        1    0.000    0.000    0.002    0.002 constructor.py:171(SafeConstructor)
        1    0.000    0.000    0.002    0.002 runtime.py:1(<module>)
      481    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
  545/133    0.001    0.000    0.002    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.002    0.002 cyaml.py:1(<module>)
      213    0.000    0.000    0.002    0.000 typing.py:1279(__init__)
        1    0.000    0.000    0.002    0.002 string.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       17    0.000    0.000    0.002    0.000 scanner.py:668(fetch_plain)
      473    0.001    0.000    0.001    0.000 <frozen codecs>:186(__init__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      225    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
     1413    0.001    0.000    0.001    0.000 parser.py:773(parse_postfix)
        7    0.000    0.000    0.001    0.000 parser.py:446(parse_block_mapping_value)
     1511    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 environment.py:144(Environment)
        1    0.000    0.000    0.001    0.001 __init__.py:421(PercentStyle)
      213    0.000    0.000    0.001    0.000 typing.py:251(_collect_parameters)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
      377    0.001    0.000    0.001    0.000 idtracking.py:175(__init__)
       17    0.000    0.000    0.001    0.000 scanner.py:1270(scan_plain)
     1415    0.001    0.000    0.001    0.000 parser.py:150(is_tuple_end)
     1412    0.001    0.000    0.001    0.000 nodes.py:472(as_const)
      379    0.001    0.000    0.001    0.000 idtracking.py:31(__init__)
      966    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        9    0.001    0.000    0.001    0.000 __init__.py:350(namedtuple)
     1414    0.001    0.000    0.001    0.000 {method 'groups' of 're.Match' objects}
      433    0.000    0.000    0.001    0.000 typing.py:159(_type_convert)
